Ship_ID,Inter_Arrival_Hours,Service_Hours
NAV-0930,81.52,10.96
NAV-0931,2.4,30.09
NAV-0932,6.4,15.27
NAV-0933,22.92,22.14
NAV-0934,80.48,17.7
NAV-0935,15.63,35.52
NAV-0936,26.24,33.91
NAV-0937,2.52,20.93
NAV-0938,7.62,36.64
NAV-0939,118.36,54.31
NAV-0940,95.99,3.81
NAV-0941,0.42,16.98
NAV-0942,88.22,12.72
NAV-0943,35.56,15.9
NAV-0944,62.99,3.12
NAV-0945,23.07,3.65
NAV-0946,26.77,1.4
NAV-0947,25.1,18.13
NAV-0948,37.87,17.77
NAV-0949,7.22,59.04
NAV-0950,1.91,28.58
NAV-0951,15.22,36.05
NAV-0952,41.3,175.29
NAV-0953,10.11,3.83
NAV-0954,38.44,69.91
NAV-0955,99.5,25.2
NAV-0956,5.08,19.2
NAV-0957,38.37,17.18
NAV-0958,22.44,32.27
NAV-0959,63.04,19.32
NAV-0960,8.96,10.71
NAV-0961,40.17,17.64
NAV-0962,57.67,32.86
NAV-0963,84.84,40.09
NAV-0964,39.31,74.23
NAV-0965,25.61,27.77
NAV-0966,33.89,56.26
NAV-0967,63.19,22.71
NAV-0968,30.43,24.88
NAV-0969,1.93,24.0
NAV-0970,79.41,29.98
NAV-0971,39.88,44.57
NAV-0972,38.71,18.76
NAV-0973,10.76,13.24
NAV-0974,37.19,46.79
NAV-0975,19.66,44.75
NAV-0976,36.55,61.65
NAV-0977,5.68,16.72
NAV-0978,37.1,22.15
NAV-0979,186.41,47.87
NAV-0980,2.85,18.6
NAV-0981,106.0,39.03
NAV-0982,20.37,22.78
NAV-0983,63.56,32.15
NAV-0984,49.75,10.54
NAV-0985,30.18,27.53
NAV-0986,44.7,53.65
NAV-0987,65.16,42.29
NAV-0988,20.22,12.58
NAV-0989,16.18,70.69
NAV-0990,37.93,51.66
NAV-0991,53.11,10.95
NAV-0992,47.34,17.73
NAV-0993,51.74,11.45
NAV-0994,21.97,32.74
NAV-0995,54.54,17.17
NAV-0996,6.31,4.74
NAV-0997,28.65,24.81
NAV-0998,0.48,45.65
NAV-0999,16.05,27.91
NAV-1000,18.21,36.83
